polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 7*x + 1,743,920,495,960,1,0,S5,-6479805567
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 6*x + 1,576,820,420,765,1,0,S5,-4171543756
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 5*x + 1,445,740,375,600,5,0,S5,-2613509375
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 4*x + 1,344,680,360,465,1,0,S5,-1601906244
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 3*x + 1,267,640,375,360,1,0,S5,-978943183
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - 2*x + 1,208,620,420,285,1,0,S5,-632803292
x^5 - 15*x^4 - 15*x^3 - 10*x^2 - x + 1,161,620,495,240,1,0,S5,-497613231
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 1,120,640,600,225,5,0,S5,-553412500
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + x + 1,79,680,735,240,1,0,S5,-826122719
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 2*x + 1,32,740,900,285,1,0,S5,-1387516908
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 3*x + 1,-27,820,1095,360,1,0,S5,-2355188767
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 4*x + 1,-104,920,1320,465,1,0,S5,-3892521956
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 5*x + 1,-205,1040,1575,600,5,0,S5,-6208659375
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 6*x + 1,-336,1180,1860,765,1,0,S5,-9558472444
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 7*x + 1,-503,1340,2175,960,1,0,S5,-14242530383
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 8*x + 1,-712,1520,2520,1185,1,0,S5,-20607069492
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 9*x + 1,-969,1720,2895,1440,1,0,S5,-29043962431
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 10*x + 1,-1280,1940,3300,1725,5,0,S5,-39990687500
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 11*x + 1,-1651,2180,3735,2040,1,0,S5,-53930297919
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 12*x + 1,-2088,2440,4200,2385,1,0,S5,-71391391108
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 13*x + 1,-2597,2720,4695,2760,1,0,S5,-92948077967
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 14*x + 1,-3184,3020,5220,3165,1,0,S5,-119219952156
x^5 - 15*x^4 - 15*x^3 - 10*x^2 + 15*x + 1,-3855,3340,5775,3600,5,0,S5,-150872059375
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 15*x + 1,4035,2139,2115,3600,3,0,S5,-93645760192
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 14*x + 1,3368,1908,1800,3165,1,0,S5,-72033349503
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 13*x + 1,2785,1695,1515,2760,5,0,S5,-54531605168
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 12*x + 1,2280,1500,1260,2385,15,0,S5,-40561040167
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 11*x + 1,1847,1323,1035,2040,1,0,S5,-29588349120
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 10*x + 1,1480,1164,840,1725,1,0,S5,-21126377567
x^5 - 15*x^4 - 15*x^3 - 9*x^2 - 8*x + 1,920,900,540,1185,5,0,S5,-10016545383
