polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 9*x^3 + 9*x^2 - 9*x + 1,477,-583,477,0,53,1,D(4),-570227
x^4 - 9*x^3 + 9*x^2 + 9*x + 1,-333,-259,333,0,37,1,D(4),510637
x^4 - 9*x^3 + 10*x^2 - 2*x + 1,0,308,-308,77,77,1,D(4),-112651
x^4 - 9*x^3 + 10*x^2 + 9*x + 1,-297,-264,297,0,33,1,D(4),422532
x^4 - 8*x^3 - 10*x^2 - 8*x + 1,896,896,896,0,896,1,D(4),-2408448
x^4 - 8*x^3 - 10*x^2 - x + 1,105,378,336,63,21,0,D(4),48069
x^4 - 8*x^3 - 9*x^2 - 8*x + 1,864,756,864,0,108,1,D(4),-2414448
x^4 - 8*x^3 - 9*x^2 + 8*x + 1,-736,1012,736,0,92,1,D(4),3190928
x^4 - 8*x^3 - 8*x^2 - 8*x + 1,832,624,832,0,208,1,D(4),-2379520
x^4 - 8*x^3 - 8*x^2 + 1,64,240,256,64,16,0,D(4),4352
x^4 - 8*x^3 - 8*x^2 + 5*x + 1,-221,520,416,39,13,0,D(4),1083797
x^4 - 8*x^3 - 8*x^2 + 8*x + 1,-704,880,704,0,176,1,D(4),2756864
x^4 - 8*x^3 - 7*x^2 + 8*x + 1,-672,756,672,0,84,1,D(4),2377872
x^4 - 8*x^3 - 6*x^2 - 8*x + 1,768,384,768,0,384,1,D(4),-2211840
x^4 - 8*x^3 - 5*x^2 - 8*x + 1,736,276,736,0,92,1,D(4),-2090608
x^4 - 8*x^3 - 5*x^2 + 8*x + 1,-608,532,608,0,76,1,D(4),1761680
x^4 - 8*x^3 - 4*x^2 - 8*x + 1,704,176,704,0,176,1,D(4),-1951488
x^4 - 8*x^3 - 4*x^2 + 8*x + 1,-576,432,576,0,144,1,D(4),1513728
x^4 - 8*x^3 - 3*x^2 - 8*x + 1,672,84,672,0,84,1,D(4),-1799280
x^4 - 8*x^3 - 3*x^2 + 8*x + 1,-544,340,544,0,68,1,D(4),1299344
x^4 - 8*x^3 - 2*x^2 - 8*x + 1,640,0,640,0,640,2,D(4),-1638400
x^4 - 8*x^3 - x^2 - 8*x + 1,608,-76,608,0,76,1,D(4),-1472880
x^4 - 8*x^3 - x^2 - 2*x + 1,80,-40,80,60,20,0,D(4),-162000
x^4 - 8*x^3 - x^2 + 8*x + 1,-480,180,480,0,60,1,D(4),954000
x^4 - 8*x^3 - 8*x + 1,576,-144,576,0,144,1,D(4),-1306368
x^4 - 8*x^3 + x + 1,63,0,0,63,63,2,D(4),-107163
x^4 - 8*x^3 + 4*x + 1,0,48,96,48,48,1,D(4),13824
x^4 - 8*x^3 + 8*x + 1,-448,112,448,0,112,1,D(4),815360
x^4 - 8*x^3 + x^2 - 8*x + 1,544,-204,544,0,68,1,D(4),-1142128
x^4 - 8*x^3 + x^2 + 8*x + 1,-416,52,416,0,52,1,D(4),694928
x^4 - 8*x^3 + 3*x^2 - 8*x + 1,480,-300,480,0,60,1,D(4),-831600
x^4 - 8*x^3 + 3*x^2 + 2*x + 1,80,40,-80,60,20,0,D(4),-115600
x^4 - 8*x^3 + 3*x^2 + 8*x + 1,-352,-44,352,0,44,1,D(4),497552
x^4 - 8*x^3 + 4*x^2 - 8*x + 1,448,-336,448,0,112,1,D(4),-689920
x^4 - 8*x^3 + 4*x^2 + 1,64,48,-128,64,16,0,D(4),-87808
x^4 - 8*x^3 + 4*x^2 + 8*x + 1,-320,-80,320,0,80,1,D(4),416000
x^4 - 8*x^3 + 5*x^2 - 8*x + 1,416,-364,416,0,52,1,D(4),-559728
x^4 - 8*x^3 + 6*x^2 - 8*x + 1,384,-384,384,0,384,1,D(4),-442368
x^4 - 8*x^3 + 6*x^2 + 8*x + 1,-256,-128,256,0,128,1,D(4),278528
x^4 - 8*x^3 + 7*x^2 - 8*x + 1,352,-396,352,0,44,1,D(4),-338800
