polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 4*x^4 + 7*x^3 - 2*x^2 - 2*x + 1,9,-93/2,87,-109,183/2,-27,-3/2,1/2,0,D(5) = 5:2,20449
x^5 - 4*x^4 + 8*x^3 + 7*x^2 - 6*x + 1,37/2,-123,411/2,-81,228,-201/2,-4,1/2,0,D(5) = 5:2,693889
x^5 - 4*x^4 + 9*x^3 - 5*x^2 + 3*x + 1,43/2,-90,57,-31,93/2,-33/2,-13/2,1/2,0,D(5) = 5:2,1306449
x^5 - 3*x^4 - 7*x^3 + x^2 + 4*x + 1,27/2,117/2,177/2,45,18,24,53/2,1/2,0,D(5) = 5:2,160801
x^5 - 3*x^4 - x^3 + 7*x^2 + 3*x + 1,-17/2,39,123,24,-12,-48,23/2,1/2,0,D(5) = 5:2,512656
x^5 - 3*x^4 + 3*x^3 - x^2 + 2*x + 1,13/2,-51/2,75/2,11,-21,-6,3/2,1/2,0,D(5) = 5:2,56169
x^5 - 3*x^4 + 3*x^3 + 3*x^2 - x + 1,-13/2,-27,63,-28,42,-36,3/2,1/2,0,D(5) = 5:2,274576
x^5 - 3*x^4 + 4*x^3 - x^2 + 3*x + 1,23/2,-69/2,57/2,30,-51/2,-21/2,-1,1,0,D(5) = 5:2,267289
x^5 - 3*x^4 + 5*x^3 - x^2 - 2*x + 1,13/2,-69/2,123/2,-77,63,-15,-7/2,1/2,0,D(5) = 5:2,14161
x^5 - 3*x^4 + 8*x^3 - 7*x^2 + 5*x + 1,85/2,-225/2,117/2,-32,-21/2,33/2,-11,1/2,0,D(5) = 5:2,373321
x^5 - 2*x^4 - 3*x^3 + 3*x^2 + 7*x + 1,83/2,54,75,55,-165/2,-27/2,23/2,1/2,0,D(5) = 5:2,305809
x^5 - 2*x^4 - 3*x^3 + 9*x^2 - 5*x + 1,5/2,-45,129,-149,231/2,-117/2,23/2,1/2,0,D(5) = 5:2,16129
x^5 - 2*x^4 - 2*x^3 + 7*x^2 - 4*x + 1,-3/2,-27,183/2,-109,87,-93/2,9,1/2,0,D(5) = 5:2,20449
x^5 - 2*x^4 - x^3 - x^2 + 7*x + 1,103/2,-3,42,75,-213/2,21/2,13/2,1/2,0,D(5) = 5:2,859329
x^5 - 2*x^4 - x^3 + 5*x^2 - 3*x + 1,-7/2,-15,63,-77,123/2,-69/2,13/2,1/2,0,D(5) = 5:2,14161
x^5 - 2*x^4 + 3*x^2 - 2*x + 1,-7/2,-9,87/2,-53,39,-45/2,4,1/2,0,D(5) = 5:2,6241
x^5 - 2*x^4 + x^3 - 2*x^2 + 4*x + 1,21,-39/2,30,27,-129/2,12,3/2,3/2,0,D(5) = 5:2,227529
x^5 - 2*x^4 + x^3 + x^2 - x + 1,-3/2,-9,33,-37,39/2,-21/2,3/2,1/2,0,D(5) = 5:2,2209
x^5 - 2*x^4 + x^3 + 7*x^2 - 5*x + 1,15/2,-60,111,-81,195/2,-111/2,3/2,3/2,0,D(5) = 5:2,227529
x^5 - 2*x^4 + 2*x^3 - x^2 + 1,5/2,-15,63/2,-29,3,3/2,-1,1,0,D(5) = 5:2,2209
x^5 - 2*x^4 + 3*x^3 - 3*x^2 + x + 1,17/2,-27,39,-29,-21/2,27/2,-7/2,1/2,0,D(5) = 5:2,10609
x^5 - 2*x^4 + 3*x^3 - 2*x + 1,4,-45/2,39,-53,87/2,-9,-7/2,1/2,0,D(5) = 5:2,6241
