polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 + 4*x^2 - 11,120,48,-240,225,3,0,D(4),-149710275
x^4 - 15*x^3 + 4*x^2 + 6*x + 1,0,84,252,189,21,1,D(4),122157
x^4 - 15*x^3 + 4*x^2 + 11*x + 3,-1035,-106,1487,104,1,0,D(4),-2148412
x^4 - 15*x^3 + 4*x^2 + 15*x + 1,-3015,-402,3015,0,201,1,D(4),36522504
x^4 - 15*x^3 + 5*x^2 - 15*x + 1,3195,-1491,3195,0,213,1,D(4),-38609019
x^4 - 15*x^3 + 5*x^2 - 5*x + 5,145,-191,115,200,1,0,D(4),-25684875
x^4 - 15*x^3 + 5*x^2 + 2*x - 10,152,124,-256,221,1,0,D(4),-113845032
x^4 - 15*x^3 + 5*x^2 + 9*x + 4,-429,-51,843,144,3,0,D(4),-20271888
x^4 - 15*x^3 + 5*x^2 + 15*x + 1,-2955,-591,2955,0,591,1,D(4),35277381
x^4 - 15*x^3 + 6*x^2 - 15*x + 1,3135,-1672,3135,0,209,1,D(4),-36517316
x^4 - 15*x^3 + 6*x^2 - 9*x - 3,633,-628,927,144,1,0,D(4),-27121500
x^4 - 15*x^3 + 6*x^2 + 4*x - 9,152,152,-152,209,19,0,D(4),-80528283
x^4 - 15*x^3 + 6*x^2 + 5*x - 1,115,128,-25,200,1,0,D(4),2278400
x^4 - 15*x^3 + 6*x^2 + 7*x + 5,-55,44,319,176,11,0,D(4),-36759388
x^4 - 15*x^3 + 6*x^2 + 15*x + 1,-2895,-772,2895,0,193,1,D(4),34120084
x^4 - 15*x^3 + 7*x^2 - 15*x + 1,3075,-1845,3075,0,615,1,D(4),-34418475
x^4 - 15*x^3 + 7*x^2 + 5*x + 6,135,155,-85,200,5,0,D(4),-51685600
x^4 - 15*x^3 + 7*x^2 + 6*x - 8,72,108,72,189,9,0,D(4),-49720716
x^4 - 15*x^3 + 7*x^2 + 15*x - 9,-2835,-945,2835,0,945,1,D(4),3043125
x^4 - 15*x^3 + 7*x^2 + 15*x + 1,-2835,-945,2835,0,945,1,D(4),33041925
x^4 - 15*x^3 + 8*x^2 - 15*x + 1,3015,-2010,3015,0,1005,1,D(4),-32320800
x^4 - 15*x^3 + 8*x^2 - 10*x + 11,800,-860,1100,125,5,0,D(4),-108092475
x^4 - 15*x^3 + 8*x^2 + 3*x + 7,189,258,-369,216,3,0,D(4),-65123676
x^4 - 15*x^3 + 8*x^2 + 8*x - 7,-136,-32,416,161,1,0,D(4),-21379563
x^4 - 15*x^3 + 8*x^2 + 14*x - 7,-2176,-908,2348,29,1,0,D(4),22851213
x^4 - 15*x^3 + 8*x^2 + 15*x + 1,-2775,-1110,2775,0,555,1,D(4),32034600
