polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 4*x^3 + 5*x^2 - 2*x + 9,0,48,-48,12,12,1,E(4),176400
x^4 - 4*x^3 + 6*x^2 - 4*x + 2,0,0,0,0,undefined,4,E(4),256
x^4 - 4*x^3 + 6*x^2 - 4*x + 10,0,0,0,0,undefined,4,E(4),186624
x^4 - 4*x^3 + 7*x^2 - 6*x + 6,80,-120,80,-20,20,0,E(4),14400
x^4 - 4*x^3 + 7*x^2 - 6*x + 11,80,-120,80,-20,20,0,E(4),176400
x^4 - 4*x^3 + 8*x^2 - 12*x + 9,1376,-1008,544,-128,16,0,E(4),2304
x^4 - 4*x^3 + 8*x^2 - 8*x + 7,288,-336,192,-48,48,0,E(4),9216
x^4 - 4*x^3 + 8*x^2 - 4*x + 1,-32,80,-32,0,16,1,E(4),2304
x^4 - 4*x^3 + 8*x^2 + 4*x + 1,96,144,-96,0,48,1,E(4),57600
x^4 - 4*x^3 + 8*x^2 + 8*x + 4,-224,-208,64,-48,16,0,E(4),589824
x^4 - 4*x^3 + 8*x^2 + 12*x + 9,-1312,-816,352,-128,16,0,E(4),2822400
x^4 - 4*x^3 + 9*x^2 - 10*x + 5,672,-672,336,-84,84,0,E(4),400
x^4 - 4*x^3 + 9*x^2 - 10*x + 13,672,-672,336,-84,84,0,E(4),104976
x^4 - 4*x^3 + 10*x^2 - 12*x + 6,1280,-1152,512,-128,128,0,E(4),2304
x^4 - 4*x^3 + 10*x^2 - 12*x + 14,1280,-1152,512,-128,128,0,E(4),57600
x^4 - 4*x^3 + 10*x^2 + 12,32,384,-160,16,16,0,E(4),2073600
x^4 - 4*x^3 + 11*x^2 - 14*x + 7,2160,-1800,720,-180,180,0,E(4),7056
x^4 - 4*x^3 + 11*x^2 - 8*x + 13,192,-300,144,-48,12,0,E(4),435600
x^4 - 4*x^3 + 14*x^2 - 8*x + 4,96,-192,96,-48,48,0,E(4),451584
x^4 - 4*x^3 + 14*x^2 + 4*x + 10,192,576,-192,0,192,1,E(4),6969600
x^4 - 4*x^3 + 14*x^2 + 12*x + 9,-1024,-1152,256,-128,128,0,E(4),9437184
x^4 - 4*x^3 + 15*x^2 - 4*x + 1,-144,612,-144,0,36,1,E(4),291600
x^4 - 3*x^3 - 15*x^2 - 6*x + 4,600,1388,336,-27,1,0,E(4),1416100
x^4 - 3*x^3 - 13*x^2 - 6*x + 4,552,1092,312,-27,3,0,E(4),213444
x^4 - 3*x^3 - 12*x^2 - 3*x + 1,195,650,195,0,65,1,E(4),270400
x^4 - 3*x^3 + 9*x + 9,-705,38,171,-72,1,0,E(4),291600
x^4 - 3*x^3 + x^2 + 6*x + 4,-168,-12,48,-27,3,0,E(4),39204
x^4 - 3*x^3 + 2*x^2 + 3*x + 1,21,0,-21,0,21,2,E(4),1764
x^4 - 3*x^3 + 5*x^2 - 6*x + 4,120,-132,96,-27,3,0,E(4),900
x^4 - 3*x^3 + 7*x^2 + 6*x + 4,-24,-36,-24,-27,3,0,E(4),396900
x^4 - 3*x^3 + 8*x^2 - 13*x + 11,1805,-1190,515,-160,5,0,E(4),44100
x^4 - 3*x^3 + 8*x^2 - 3*x + 1,-45,150,-45,0,15,1,E(4),14400
x^4 - 3*x^3 + 10*x^2 + 3*x + 1,117,312,-117,0,39,1,E(4),152100
x^4 - 3*x^3 + 11*x^2 + 6*x + 4,72,108,-72,-27,9,0,E(4),1258884
x^4 - 3*x^3 + 12*x^2 + 9*x + 9,-273,-358,27,-72,1,0,E(4),5143824
x^4 - 3*x^3 + 15*x^2 - 6*x + 4,-120,308,-24,-27,1,0,E(4),1416100
x^4 - 2*x^3 - 15*x^2 - 14*x - 1,3600,3768,624,-192,24,0,E(4),270400
x^4 - 2*x^3 - 14*x^2 - 6*x + 9,568,1248,232,-32,8,0,E(4),1016064
x^4 - 2*x^3 - 13*x^2 + 14*x - 2,-3456,3264,384,-192,192,0,E(4),1040400
x^4 - 2*x^3 - 13*x^2 + 14*x + 7,-3456,3264,384,-192,192,0,E(4),4769856
x^4 - 2*x^3 - 11*x^2 + 12*x - 3,-2240,2100,280,-140,140,0,E(4),24336
x^4 - 2*x^3 - 11*x^2 + 12*x + 2,-2240,2100,280,-140,140,0,E(4),1498176
x^4 - 2*x^3 - 10*x^2 - 4*x + 4,240,528,144,-12,12,0,E(4),57600
x^4 - 2*x^3 - 9*x^2 + 10*x - 1,-1344,1248,192,-96,96,0,E(4),270400
x^4 - 2*x^3 - 7*x^2 - 2*x + 1,80,200,80,0,40,1,E(4),14400
x^4 - 2*x^3 - 7*x^2 + 8*x + 1,-720,660,120,-60,60,0,E(4),176400
x^4 - 2*x^3 - 5*x^2 + 6*x - 1,-320,288,64,-32,32,0,E(4),14400
x^4 - 2*x^3 - 3*x^2 + 4*x + 13,-96,84,24,-12,12,0,E(4),291600
x^4 - 2*x^3 - x^2 + 2*x + 7,0,0,0,0,undefined,4,E(4),69696
x^4 - 2*x^3 - x^2 + 14*x + 13,-2784,240,288,-192,48,0,E(4),57600
x^4 - 2*x^3 + x^2 - 6*x + 9,208,-72,112,-32,8,0,E(4),5184
x^4 - 2*x^3 + x^2 + 5,16,-12,-8,4,4,0,E(4),32400
x^4 - 2*x^3 + x^2 + 14,16,-12,-8,4,4,0,E(4),705600
x^4 - 2*x^3 + x^2 + 6*x + 3,-176,-24,16,-32,8,0,E(4),5184
x^4 - 2*x^3 + 2*x^2 - 6*x + 9,184,-96,104,-32,8,0,E(4),57600
x^4 - 2*x^3 + 2*x^2 - 4*x + 4,48,-48,48,-12,12,0,E(4),2304
x^4 - 2*x^3 + 2*x^2 + 2*x + 1,24,0,-24,0,24,2,E(4),2304
x^4 - 2*x^3 + 2*x^2 + 4*x + 4,-16,-16,-16,-12,4,0,E(4),57600
x^4 - 2*x^3 + 2*x^2 + 6*x + 9,-152,-48,8,-32,8,0,E(4),451584
x^4 - 2*x^3 + 3*x^2 - 2*x + 11,0,0,0,0,undefined,4,E(4),270400
x^4 - 2*x^3 + 5*x^2 - 10*x + 7,816,-456,240,-96,24,0,E(4),14400
x^4 - 2*x^3 + 5*x^2 - 4*x + 1,0,-12,24,-12,12,1,E(4),144
x^4 - 2*x^3 + 5*x^2 + 2*x + 1,48,72,-48,0,24,1,E(4),14400
x^4 - 2*x^3 + 5*x^2 + 6*x + 9,-80,-72,-16,-32,8,0,E(4),705600
x^4 - 2*x^3 + 6*x^2 - 14*x + 13,2424,-1104,456,-192,24,0,E(4),186624
x^4 - 2*x^3 + 6*x^2 + 4*x + 4,48,48,-48,-12,12,0,E(4),186624
x^4 - 2*x^3 + 6*x^2 + 10*x + 5,-744,-432,72,-96,24,0,E(4),313600
x^4 - 2*x^3 + 7*x^2 - 6*x + 2,64,-96,64,-32,32,0,E(4),7056
x^4 - 2*x^3 + 7*x^2 - 6*x + 3,64,-96,64,-32,32,0,E(4),14400
x^4 - 2*x^3 + 9*x^2 - 8*x + 2,240,-300,120,-60,60,0,E(4),3136
x^4 - 2*x^3 + 9*x^2 - 8*x + 5,240,-300,120,-60,60,0,E(4),94864
x^4 - 2*x^3 + 10*x^2 + 6*x + 9,40,48,-56,-32,8,0,E(4),2073600
x^4 - 2*x^3 + 11*x^2 - 10*x + 3,576,-672,192,-96,96,0,E(4),69696
x^4 - 2*x^3 + 11*x^2 - 10*x + 4,576,-672,192,-96,96,0,E(4),176400
x^4 - 2*x^3 + 11*x^2 - 10*x + 10,576,-672,192,-96,96,0,E(4),435600
x^4 - 2*x^3 + 11*x^2 - 10*x + 13,576,-672,192,-96,96,0,E(4),389376
x^4 - 2*x^3 + 11*x^2 + 4*x + 4,128,308,-88,-12,4,0,E(4),1016064
x^4 - 2*x^3 + 13*x^2 - 12*x + 3,1120,-1260,280,-140,140,0,E(4),17424
x^4 - 2*x^3 + 13*x^2 - 12*x + 6,1120,-1260,280,-140,140,0,E(4),705600
x^4 - 2*x^3 + 13*x^2 - 12*x + 8,1120,-1260,280,-140,140,0,E(4),1016064
x^4 - 2*x^3 + 15*x^2 - 14*x + 4,1920,-2112,384,-192,192,0,E(4),291600
x^4 - 2*x^3 + 15*x^2 - 14*x + 5,1920,-2112,384,-192,192,0,E(4),774400
x^4 - 2*x^3 + 15*x^2 - 14*x + 11,1920,-2112,384,-192,192,0,E(4),2795584
x^4 - 2*x^3 + 15*x^2 - 14*x + 14,1920,-2112,384,-192,192,0,E(4),3312400
x^4 - x^3 - 10*x^2 - 3*x + 9,155,468,73,-8,1,0,E(4),152100
x^4 - x^3 - 2*x^2 - 3*x + 9,59,12,41,-8,1,0,E(4),39204
x^4 - x^3 - x^2 - 2*x + 4,24,-12,24,-3,3,0,E(4),1764
x^4 - x^3 + x^2 + 12*x + 12,-1672,-132,44,-143,11,0,E(4),435600
x^4 - x^3 + 2*x^2 + x + 1,15,0,-15,0,15,2,E(4),900
x^4 - x^3 + 2*x^2 + 7*x + 7,-279,-84,-15,-48,3,0,E(4),176400
x^4 - x^3 + 4*x^2 - 15*x + 15,3143,-882,329,-224,7,0,E(4),396900
x^4 - x^3 + 4*x^2 + 3*x + 9,29,18,-31,-8,1,0,E(4),219024
x^4 - x^3 + 5*x^2 - 8*x + 4,360,-252,108,-63,9,0,E(4),14400
x^4 - x^3 + 5*x^2 + 2*x + 4,40,68,-32,-3,1,0,E(4),44100
x^4 - x^3 + 8*x^2 + 3*x + 9,77,174,-47,-8,1,0,E(4),435600
x^4 - 15*x^2 + 1,0,884,0,0,884,3,E(4),781456
x^4 - 15*x^2 + 4,0,884,0,0,884,3,E(4),2795584
x^4 - 14*x^2 + 4,0,768,0,0,768,3,E(4),2073600
x^4 - 14*x^2 + 9,0,768,0,0,768,3,E(4),3686400
x^4 - 13*x^2 + 1,0,660,0,0,660,3,E(4),435600
x^4 - 13*x^2 + 9,0,660,0,0,660,3,E(4),2547216
x^4 - 12*x^2 + 1,0,560,0,0,560,3,E(4),313600
x^4 - 12*x^2 + 9,0,560,0,0,560,3,E(4),1679616
x^4 - 11*x^2 + 4,0,468,0,0,468,3,E(4),705600
x^4 - 11*x^2 + 9,0,468,0,0,468,3,E(4),1040400
x^4 - 10*x^2 - 12*x - 2,2208,1824,96,-144,48,0,E(4),57600
x^4 - 10*x^2 + 1,0,384,0,0,384,3,E(4),147456
