polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 6*x^4 + 13*x^3 + 24*x^2 - 8*x + 1,7/2,-297,1179/2,263,1110,-771/2,4,1/2,0,A5,1289887225
x^5 - 6*x^4 + 17*x^3 + 8*x^2 - 4*x + 1,-13/2,-213,1131/2,79,288,-351/2,-4,1/2,0,A5,273009529
x^5 - 6*x^4 + 19*x^3 + 11*x^2 + 17*x + 1,-23/2,-507/2,771/2,1107,-213,138,523/2,1/2,0,A5,11706590809
x^5 - 6*x^4 + 21*x^3 - 21*x^2 + 14*x + 1,-33/2,-63/2,525/2,-319,621/2,-1197/2,497/2,1/2,0,A5,536848900
x^5 - 6*x^4 + 23*x^3 + 15*x^2 + 4*x + 1,-43/2,-639/2,1737/2,833,579/2,-165/2,-43/2,1/2,0,A5,403768836
x^5 - 6*x^4 + 23*x^3 + 23*x^2 + 3*x + 1,-43/2,-759/2,1911/2,1159,780,-69,-97/2,1/2,0,A5,2797669449
x^5 - 5*x^4 - 23*x^3 + 10*x^2 + 11*x + 1,165/2,195/2,1407/2,-100,1209/2,675/2,96,1/2,0,A5,5162566201
x^5 - 5*x^4 - 22*x^3 + x^2 + 9*x + 1,80,315/2,1197/2,246,747/2,357/2,157/2,1/2,0,A5,2125671025
x^5 - 5*x^4 - 13*x^3 + 4*x^2 + 13*x + 1,115/2,135/2,177/2,326,705/2,351/2,159,1/2,0,A5,185313769
x^5 - 5*x^4 - 8*x^3 + 15*x^2 + 13*x + 1,45,-105/2,27/2,190,1137/2,705/2,263/2,1/2,0,A5,435431689
x^5 - 5*x^4 + 19*x^2 - x + 1,25,-285/2,315/2,-60,1233/2,-57/2,-93/2,1/2,0,A5,4214809
x^5 - 5*x^4 + 25*x^2 - 25*x + 1,25,-375/2,1125/2,-900,2025/2,-1875/2,1125/2,25/2,0,A5,43890625
x^5 - 5*x^4 + 5*x^3 + 4*x^2 + x + 1,25/2,-135/2,105/2,50,183/2,-63/2,-9,1/2,0,A5,261121
x^5 - 5*x^4 + 7*x^3 + 7*x^2 + 4*x + 1,15/2,-105,66,213,213/2,-21/2,-3/2,3/2,0,A5,1896129
x^5 - 5*x^4 + 7*x^3 + 8*x^2 + 4*x + 1,15/2,-225/2,147/2,227,129,-9/2,-4,1/2,0,A5,1779556
x^5 - 5*x^4 + 7*x^3 + 19*x^2 + 22*x + 1,15/2,-195,-114,1011,771/2,1149/2,873/2,3/2,0,A5,6408803025
x^5 - 5*x^4 + 7*x^3 + 21*x^2 + 13*x + 1,15/2,-210,36,724,600,357,233/2,1/2,0,A5,230189584
x^5 - 5*x^4 + 8*x^3 + x^2 + 9*x + 1,5,-135/2,-63/2,306,-63/2,-93/2,157/2,1/2,0,A5,60918025
x^5 - 5*x^4 + 9*x^3 + 15*x^2 + 6*x + 1,5/2,-180,144,455,663/2,135/2,-3/2,1/2,0,A5,5294601
x^5 - 5*x^4 + 11*x^3 - 12*x^2 + 12*x + 1,-5/2,15/2,-177/2,131,93,-597/2,174,1/2,0,A5,15288100
x^5 - 5*x^4 + 11*x^3 - 12*x^2 + 17*x + 1,-5/2,15/2,-327/2,306,21/2,-777/2,319,1/2,0,A5,137241225
x^5 - 5*x^4 + 12*x^3 - 11*x^2 + 3*x + 1,-5,-15/2,177/2,-184,405/2,-279/2,73/2,1/2,0,A5,162409
x^5 - 5*x^4 + 12*x^3 + 13*x^2 + 19*x + 1,-5,-375/2,57/2,952,-27/2,561/2,657/2,1/2,0,A5,6601725001
x^5 - 5*x^4 + 12*x^3 + 17*x^2 + 9*x + 1,-5,-435/2,417/2,698,693/2,279/2,77/2,1/2,0,A5,99740169
x^5 - 5*x^4 + 13*x^3 - 19*x^2 + 19*x + 1,-15/2,45,-174,146,246,-639,817/2,1/2,0,A5,36966400
x^5 - 5*x^4 + 13*x^3 - 14*x^2 + 7*x + 1,-15/2,15/2,87/2,-144,465/2,-489/2,84,3/2,0,A5,927369
x^5 - 5*x^4 + 13*x^3 - 13*x^2 + 4*x + 1,-15/2,0,96,-223,501/2,-351/2,97/2,1/2,1,A5,426409
