polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 + 18*x^3 + 17*x^2 + x + 1,-83/2,-219/2,723/2,566,789/2,-93/2,-36,1/2,0,D(5),283821409
x^5 + 3*x^4 + 19*x^3 + 5*x^2 - 4*x + 1,7/2,-345/2,213/2,249,579,48,-77/2,1/2,0,D(5),253605625
x^5 + 3*x^4 + 19*x^3 + 18*x^2 + x + 1,-44,-231/2,825/2,638,891/2,-99/2,-77/2,11/2,0,D(5),408322849
x^5 + 3*x^4 + 20*x^3 + 19*x^2 + x + 1,-93/2,-243/2,933/2,714,999/2,-105/2,-41,1/2,0,D(5),575184289
x^5 + 3*x^4 + 21*x^3 + 20*x^2 + x + 1,-49,-255/2,1047/2,794,1113/2,-111/2,-87/2,1/2,0,D(5),795183601
x^5 + 3*x^4 + 22*x^3 + 21*x^2 + x + 1,-103/2,-267/2,1167/2,878,1233/2,-117/2,-46,1/2,0,D(5),1081028641
x^5 + 3*x^4 + 23*x^3 + 22*x^2 + x + 1,-54,-279/2,1293/2,966,1359/2,-123/2,-97/2,1/2,0,D(5),1447574209
x^5 + 3*x^4 + 24*x^3 + 23*x^2 + x + 1,-113/2,-291/2,1425/2,1058,1491/2,-129/2,-51,1/2,0,D(5),1912050529
x^5 + 3*x^4 + 25*x^3 + 9*x^2 - 5*x + 1,5/2,-255,264,530,972,45,-107/2,1/2,0,D(5),1269639424
x^5 + 3*x^4 + 25*x^3 + 24*x^2 + x + 1,-59,-303/2,1563/2,1154,1629/2,-135/2,-107/2,1/2,0,D(5),2494303249
x^5 + 4*x^4 - 24*x^3 + 9*x^2 + 16*x + 1,467/2,396,1275/2,-905,570,-423/2,76,1/2,0,D(5),6280087009
x^5 + 4*x^4 - 11*x^3 - 17*x^2 + 17*x + 1,663/2,-351,654,-127,57/2,123/2,87/2,1/2,0,D(5),2820141025
x^5 + 4*x^4 - 11*x^3 - 8*x^2 + 16*x + 1,276,-219/2,300,-297,-21/2,-6,87/2,3/2,0,D(5),247212729
x^5 + 4*x^4 - 9*x^3 + 6*x^2 - 2*x + 1,-11,99/2,-33,-77,231/2,-99,77/2,11/2,0,D(5),717409
x^5 + 4*x^4 - 8*x^3 - 25*x^2 - 12*x + 1,413/2,510,1467/2,711,426,279/2,36,1/2,0,D(5),142110241
x^5 + 4*x^4 - 8*x^3 - 13*x^2 + 18*x + 1,713/2,-291,819/2,-321,-96,99/2,36,1/2,0,D(5),46471489
x^5 + 4*x^4 - 7*x^3 - 23*x^2 - 11*x + 1,357/2,432,618,605,753/2,261/2,67/2,1/2,0,D(5),91259809
x^5 + 4*x^4 - 6*x^3 - 21*x^2 - 10*x + 1,305/2,360,1023/2,507,330,243/2,31,1/2,0,D(5),56445169
x^5 + 4*x^4 - 5*x^3 - 19*x^2 - 9*x + 1,257/2,294,414,417,573/2,225/2,57/2,1/2,0,D(5),33373729
x^5 + 4*x^4 - 4*x^3 - 17*x^2 - 8*x + 1,213/2,234,651/2,335,246,207/2,26,1/2,0,D(5),18671041
x^5 + 4*x^4 - 3*x^3 - 17*x^2 + 22*x + 1,1053/2,-1077/2,945/2,-539,-429/2,219/2,47/2,1/2,0,D(5),615436864
x^5 + 4*x^4 - 3*x^3 - 15*x^2 - 7*x + 1,173/2,180,246,261,417/2,189/2,47/2,1/2,0,D(5),9740641
x^5 + 4*x^4 - 3*x^3 + 7*x^2 - 2*x + 1,-27/2,3/2,9/2,-11,3/2,-141/2,47/2,1/2,0,D(5),1098304
x^5 + 4*x^4 - 2*x^3 - 13*x^2 - 6*x + 1,137/2,132,351/2,195,174,171/2,21,1/2,0,D(5),4635409
x^5 + 4*x^4 - 2*x^3 + x^2 - 2*x + 1,3/2,12,-129/2,27,30,-39/2,21,3/2,0,D(5),227529
x^5 + 4*x^4 - x^3 - 11*x^2 - 5*x + 1,105/2,90,114,137,285/2,153/2,37/2,1/2,0,D(5),1940449
x^5 + 4*x^4 - 9*x^2 - 4*x + 1,77/2,54,123/2,87,114,135/2,16,1/2,0,D(5),667489
x^5 + 4*x^4 + 7*x^2 - 2*x + 1,-27/2,-21,27/2,31,-12,-105/2,16,1/2,0,D(5),2474329
x^5 + 4*x^4 + x^3 - 7*x^2 - 3*x + 1,53/2,24,18,45,177/2,117/2,27/2,1/2,0,D(5),160801
x^5 + 4*x^4 + x^3 + 4*x^2 - 4*x + 1,6,-63/2,-30,95,75/2,-24,27/2,1/2,0,D(5),693889
x^5 + 4*x^4 + 3*x^3 - 3*x^2 - x + 1,17/2,-18,-42,-15,93/2,81/2,17/2,1/2,0,D(5),2209
x^5 + 4*x^4 + 4*x^3 - x^2 + 1,5/2,-30,-117/2,-33,30,63/2,6,1/2,0,D(5),16129
