polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 5*x^4 + 12*x^3 + 7*x^2 - 5*x + 1,-5,-285/2,687/2,-32,477/2,-285/2,15/2,1/2,0,D(5),45171841
x^5 - 4*x^4 - 15*x^3 + 15*x^2 + 21*x + 1,107/2,-45/2,225/2,113,870,585,807/2,1/2,0,D(5),8640260209
x^5 - 4*x^4 - 9*x^3 + 4*x + 1,77/2,54,123/2,87,114,135/2,16,1/2,0,D(5),667489
x^5 - 4*x^4 + 5*x^2 + 14*x + 1,16,-75/2,-180,367,195/2,105,367/2,1/2,0,D(5),16507969
x^5 - 4*x^4 + 2*x^3 + 9*x^2 - 6*x + 1,11,-159/2,150,-157,399/2,-96,27/2,1/2,0,D(5),56169
x^5 - 4*x^4 + 4*x^3 + x^2 + 4*x + 1,6,-63/2,-30,95,75/2,-24,27/2,1/2,0,D(5),693889
x^5 - 4*x^4 + 5*x^3 + 1,7/2,-30,75/2,-25,60,-75/2,0,1/2,1,D(5),95481
x^5 - 4*x^4 + 5*x^3 + 19*x^2 + 3*x + 1,7/2,-345/2,213/2,249,579,48,-77/2,1/2,0,D(5),253605625
x^5 - 4*x^4 + 7*x^3 - 2*x^2 - 2*x + 1,-3/2,-27,183/2,-109,87,-93/2,9,1/2,0,D(5),20449
x^5 - 4*x^4 + 8*x^3 + 7*x^2 - 6*x + 1,-4,-201/2,228,-81,411/2,-123,37/2,1/2,0,D(5),693889
x^5 - 4*x^4 + 9*x^3 - 5*x^2 + 3*x + 1,-13/2,-33/2,93/2,-31,57,-90,43/2,1/2,0,D(5),1306449
x^5 - 4*x^4 + 9*x^3 + 12*x + 1,-13/2,-54,-117/2,311,-102,-135/2,144,1/2,0,D(5),233325625
x^5 - 4*x^4 + 24*x^3 + 9*x^2 + 14*x + 1,-44,-423/2,708,799,-645/2,9,347/2,1/2,0,D(5),12720456225
x^5 - 3*x^4 - 10*x^3 + 11*x^2 + 25*x + 1,34,-75/2,-351/2,280,1203/2,975/2,1195/2,1/2,0,D(5),16687225
x^5 - 3*x^4 - 7*x^3 + x^2 + 4*x + 1,53/2,24,18,45,177/2,117/2,27/2,1/2,0,D(5),160801
x^5 - 3*x^4 - 4*x^3 + 23*x^2 + 9*x + 1,19,-309/2,-15/2,-20,1785/2,681/2,47/2,1/2,0,D(5),66928761
x^5 - 3*x^4 - x^3 + 7*x^2 + 3*x + 1,23/2,-48,-12,24,123,39,-17/2,1/2,0,D(5),512656
x^5 - 3*x^4 + 3*x^3 - x^2 + 2*x + 1,3/2,-6,-21,11,75/2,-51/2,13/2,1/2,0,D(5),56169
x^5 - 3*x^4 + 3*x^3 + 3*x^2 - x + 1,3/2,-36,42,-28,63,-27,-13/2,1/2,0,D(5),274576
x^5 - 3*x^4 + 4*x^3 - x^2 + 3*x + 1,-1,-21/2,-51/2,30,57/2,-69/2,23/2,1,0,D(5),267289
x^5 - 3*x^4 + 5*x^3 - x^2 - 2*x + 1,-7/2,-15,63,-77,123/2,-69/2,13/2,1/2,0,D(5),14161
x^5 - 3*x^4 + 5*x^3 + 13*x^2 + 12*x + 1,-7/2,-120,-84,357,417/2,393/2,223/2,1/2,0,D(5),200533921
x^5 - 3*x^4 + 5*x^3 + 14*x^2 + 9*x + 1,-7/2,-255/2,-69/2,304,543/2,303/2,46,1/2,0,D(5),18429849
x^5 - 3*x^4 + 7*x^3 - 19*x^2 + 18*x + 1,-17/2,111,-282,87,795/2,-1131/2,743/2,1/2,0,D(5),1380625
x^5 - 3*x^4 + 8*x^3 - 7*x^2 + 5*x + 1,-11,33/2,-21/2,-32,117/2,-225/2,85/2,1/2,0,D(5),373321
x^5 - 3*x^4 + 8*x^3 + 19*x^2 - 9*x + 1,-11,-357/2,633/2,90,1389/2,-633/2,67/2,1/2,0,D(5),16507969
x^5 - 3*x^4 + 10*x^3 + 2*x^2 + 21*x + 1,-16,-60,-156,456,-264,-12,436,4,0,D(5),2316304384
x^5 - 2*x^4 - 17*x^3 + 25*x^2 + 13*x + 1,93/2,-273/2,627/2,-693,1299,615,213/2,3/2,0,D(5),1187560521
x^5 - 2*x^4 - 11*x^3 + 25*x^2 - 13*x + 1,63/2,-309/2,903/2,-757,753,-405,213/2,1/2,0,D(5),18671041
x^5 - 2*x^4 - 10*x^3 + 23*x^2 - 12*x + 1,29,-285/2,399,-653,1287/2,-339,173/2,1/2,0,D(5),9740641
x^5 - 2*x^4 - 9*x^3 + 12*x^2 + 10*x + 1,53/2,-63,15/2,-101,381,495/2,70,1/2,0,D(5),27175369
x^5 - 2*x^4 - 9*x^3 + 21*x^2 - 11*x + 1,53/2,-261/2,699/2,-557,543,-279,137/2,1/2,0,D(5),4635409
x^5 - 2*x^4 - 8*x^3 + 19*x^2 - 10*x + 1,24,-237/2,303,-469,903/2,-225,105/2,1/2,0,D(5),1940449
x^5 - 2*x^4 - 7*x^3 + 16*x^2 + 4*x + 1,43/2,-99,123/2,-193,456,297/2,-24,1/2,0,D(5),34000561
x^5 - 2*x^4 - 7*x^3 + 17*x^2 - 9*x + 1,43/2,-213/2,519/2,-389,369,-177,77/2,1/2,0,D(5),667489
x^5 - 2*x^4 - 6*x^3 + 15*x^2 - 8*x + 1,19,-189/2,219,-317,591/2,-135,53/2,1/2,0,D(5),160801
x^5 - 2*x^4 - 4*x^3 + 11*x^2 - 6*x + 1,14,-141/2,147,-197,351/2,-69,17/2,1/2,0,D(5),2209
x^5 - 2*x^4 - 3*x^3 + 3*x^2 + 7*x + 1,23/2,-27/2,-165/2,55,75,54,83/2,1/2,0,D(5),305809
