polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 7*x^4 - x^3 + 8*x^2 + x + 1,103/2,-141/2,-195/2,-90,-15/2,39/2,-19,1/2,0,F(5),15962337
x^5 + 7*x^4 + 12*x^3 - 8*x^2 + 7*x + 1,19,186,195,-560,-135,-174,69,1,0,F(5),157216000
x^5 + 7*x^4 + 16*x^3 - 10*x^2 + 15*x + 1,9,243,264,-1080,-315,-345,250,1,0,F(5),5583176272
x^5 + 7*x^4 + 23*x^3 - x^2 + 13*x + 1,-17/2,249,609,-708,-552,-192,343/2,1/2,0,F(5),6710321232
x^5 + 8*x^4 + 12*x^3 - 18*x^2 - 6*x + 1,34,279,522,-121,474,72,81,1,0,F(5),11122069
x^5 + 8*x^4 + 15*x^3 - 5*x^2 - 3*x + 1,53/2,435/2,885/2,-7,-15,-90,43/2,1/2,0,F(5),44217
x^5 + 8*x^4 + 16*x^3 + 2*x^2 + 14*x + 1,24,177,150,-745,-450,-78,191,1,0,F(5),106953125
x^5 + 9*x^4 - 23*x^3 - 9*x^2 + 3*x + 1,277/2,-243,870,200,90,132,63/2,1/2,0,F(5),108578000
x^5 + 9*x^4 - 23*x^3 + 21*x^2 - 7*x + 1,277/2,-468,615,-550,285,-48,-7/2,1/2,0,F(5),9522000
x^5 + 9*x^4 + 17*x^3 - 9*x^2 - 7*x + 1,77/2,297,660,110,165,-33,143/2,11/2,0,F(5),117128000
x^5 + 9*x^4 + 19*x^3 - 9*x^2 - 15*x + 1,67/2,324,888,578,414,60,495/2,1/2,0,F(5),2382032
x^5 + 9*x^4 + 22*x^3 + 6*x^2 + 3*x + 1,26,252,600,50,-180,-138,-6,2,0,F(5),5618000
x^5 + 9*x^4 + 23*x^3 + 23*x^2 + 6*x + 1,47/2,138,393,655,903/2,69/2,-43/2,1/2,0,F(5),3581577
x^5 + 13*x^4 - x^3 + 23*x^2 + 7*x + 1,343/2,-192,-552,-708,609,249,-17/2,1/2,0,F(5),6710321232
x^5 + 13*x^4 + 22*x^3 + 6*x^2 - 5*x + 1,114,384,684,694,24,-210,10,2,0,F(5),84399952
x^5 + 14*x^4 - 15*x^3 + 19*x^2 - 3*x + 1,467/2,-915/2,-33/2,-301,264,27,-77/2,1/2,0,F(5),2318783697
x^5 + 14*x^4 + 2*x^3 + 16*x^2 + 8*x + 1,191,-78,-450,-745,150,177,24,1,0,F(5),106953125
x^5 + 15*x^4 - 10*x^3 + 16*x^2 + 7*x + 1,250,-345,-315,-1080,264,243,9,1,0,F(5),5583176272
x^5 + 17*x^4 - 8*x^3 + 2*x^2 - 3*x + 1,309,-219,90,300,-285,51,4,1,0,F(5),23762000
x^5 + 17*x^4 + 12*x^3 + 22*x^2 - 3*x + 1,259,141,-300,860,525,-189,-46,1,0,F(5),17111250000
x^5 + 17*x^4 + 18*x^3 + 14*x^2 + 5*x + 1,244,354,54,-116,-96,-30,-10,2,0,F(5),8998912
x^5 + 19*x^4 - 25*x^3 + 11*x^2 - 3*x + 1,847/2,-795,669,-176,-216,138,-37/2,1/2,0,F(5),130800592
x^5 + 19*x^4 + 2*x^3 + 6*x^2 + 3*x + 1,356,12,-210,-400,-240,12,-6,2,0,F(5),640000000
x^5 + 20*x^4 - 10*x^2 + 1,400,75,300,-25,-150,0,25,25,1,F(5),50403125
x^5 + 20*x^4 + 10*x^2 + 1,400,-75,-300,-25,-150,0,-25,25,1,F(5),52003125
x^5 + 23*x^4 + 2*x^3 + 2*x^2 - 3*x + 1,524,54,-18,466,-330,-24,4,2,0,F(5),1908366928
x^5 + 25*x^4 - 25*x^3 + 15*x^2 - 5*x + 1,1375/2,-1050,450,100,-225,75,-25/2,25/2,0,F(5),68450000
x^5 + 25*x^4 + 25*x^3 + 15*x^2 + 5*x + 1,1125/2,825,300,-150,-225,-75,-25/2,25/2,0,F(5),33800000
