polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - x^4 + 10*x^3 + 7*x^2 + 13*x + 1,(114)*x^4 + (1289)*x^3 + (846)*x^2 + (1275)*x^1 + (243),(114) * (x^4 + 1289/114*x^3 + 141/19*x^2 + 425/38*x + 81/38),114,1289,846,1275,243,1,0,D(5),299393809
x^5 - x^4 + 12*x^3 - 7*x^2 + 23*x + 1,(214)*x^4 + (-301)*x^3 + (380)*x^2 + (-429)*x^1 + (541),(214) * (x^4 - 301/214*x^3 + 190/107*x^2 - 429/214*x + 541/214),214,-301,380,-429,541,1,0,D(5),466862449
x^5 - x^4 + 15*x^3 + 15*x^2 + 6*x + 1,(646)*x^4 + (3587)*x^3 + (3009)*x^2 + (1088)*x^1 + (170),(646) * (x^4 + 211/38*x^3 + 177/38*x^2 + 32/19*x + 5/19),646,3587,3009,1088,170,17,0,D(5),4092529
x^5 - 13*x^3 - 13*x^2 + 8*x + 1,(556)*x^4 + (2003)*x^3 + (1417)*x^2 + (-871)*x^1 + (-1),(556) * (x^4 + 2003/556*x^3 + 1417/556*x^2 - 871/556*x - 1/556),556,2003,1417,-871,-1,1,0,D(5),76457536
x^5 - 11*x^3 + 11*x^2 + 6*x + 1,(394)*x^4 + (-1477)*x^3 + (1023)*x^2 + (649)*x^1 + (91),(394) * (x^4 - 1477/394*x^3 + 1023/394*x^2 + 649/394*x + 91/394),394,-1477,1023,649,91,1,0,D(5),1098304
x^5 - 11*x^3 + 18*x^2 + 4*x + 1,(424)*x^4 + (-2401)*x^3 + (2872)*x^2 + (703)*x^1 + (106),(424) * (x^4 - 2401/424*x^3 + 359/53*x^2 + 703/424*x + 1/4),424,-2401,2872,703,106,1,0,D(5),167055625
x^5 - 8*x^3 + 25*x^2 + 6*x + 1,(166)*x^4 + (-2425)*x^3 + (5577)*x^2 + (1390)*x^1 + (161),(166) * (x^4 - 2425/166*x^3 + 5577/166*x^2 + 695/83*x + 161/166),166,-2425,5577,1390,161,1,0,D(5),935809281
x^5 - 3*x^3 - 4*x^2 + 8*x + 1,(-84)*x^4 + (119)*x^3 + (120)*x^2 + (-273)*x^1 + (44),(-84) * (x^4 - 17/12*x^3 - 10/7*x^2 + 13/4*x - 11/21),-84,119,120,-273,44,1,0,D(5),1734489
x^5 - x^3 + 2*x^2 - 2*x + 1,(34)*x^4 + (-49)*x^3 + (38)*x^2 + (-31)*x^1 + (14),(34) * (x^4 - 49/34*x^3 + 19/17*x^2 - 31/34*x + 7/17),34,-49,38,-31,14,1,0,D(5),2209
x^5 - x^3 + 4*x^2 + 4*x + 1,(-56)*x^4 + (-73)*x^3 + (140)*x^2 + (149)*x^1 + (36),(-56) * (x^4 + 73/56*x^3 - 5/2*x^2 - 149/56*x - 9/14),-56,-73,140,149,36,1,0,D(5),16129
x^5 - 3*x^2 + 2*x + 1,(-30)*x^4 + (-25)*x^3 + (81)*x^2 + (-54)*x^1 + (-11),(-30) * (x^4 + 5/6*x^3 - 27/10*x^2 + 9/5*x + 11/30),-30,-25,81,-54,-11,1,0,D(5),55225
x^5 + 5*x^2 - 4*x + 1,(60)*x^4 + (-25)*x^3 + (225)*x^2 + (-180)*x^1 + (41),(60) * (x^4 - 5/12*x^3 + 15/4*x^2 - 3*x + 41/60),60,-25,225,-180,41,1,0,D(5),95481
