polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 13*x^4 - 9*x^3 + 11*x^2 + 8*x + 1,(35512)*x^4 + (21641)*x^3 + (-29455)*x^2 + (-20652)*x^1 + (-2546),(35512) * (x^4 + 21641/35512*x^3 - 29455/35512*x^2 - 5163/8878*x - 1273/17756),35512,21641,-29455,-20652,-2546,1,0,A5,136866601
x^5 - 13*x^4 - x^3 + 17*x^2 - 8*x + 1,(28204)*x^4 + (-1581)*x^3 + (-34077)*x^2 + (16604)*x^1 + (-2100),(28204) * (x^4 - 1581/28204*x^3 - 34077/28204*x^2 + 4151/7051*x - 525/7051),28204,-1581,-34077,16604,-2100,1,0,A5,5184729
x^5 - 12*x^4 + 13*x^3 + 20*x^2 - 24*x + 1,(10972)*x^4 + (-16153)*x^3 + (-15156)*x^2 + (21967)*x^1 + (-428),(10972) * (x^4 - 16153/10972*x^3 - 3789/2743*x^2 + 21967/10972*x - 107/2743),10972,-16153,-15156,21967,-428,1,0,A5,5073855361
x^5 - 12*x^4 + 20*x^3 + x^2 - 8*x + 1,(7984)*x^4 + (-15961)*x^3 + (413)*x^2 + (5828)*x^1 + (-699),(7984) * (x^4 - 15961/7984*x^3 + 413/7984*x^2 + 1457/1996*x - 699/7984),7984,-15961,413,5828,-699,1,0,A5,349054489
x^5 - 12*x^4 + 21*x^3 - x^2 - 11*x + 1,(7617)*x^4 + (-16177)*x^3 + (2262)*x^2 + (7770)*x^1 + (-604),(7617) * (x^4 - 16177/7617*x^3 + 754/2539*x^2 + 2590/2539*x - 604/7617),7617,-16177,2262,7770,-604,1,0,A5,119486761
x^5 - 11*x^4 - 19*x^3 + 11*x^2 + 20*x + 1,(26554)*x^4 + (38849)*x^3 + (-25383)*x^2 + (-41386)*x^1 + (-1712),(26554) * (x^4 + 38849/26554*x^3 - 25383/26554*x^2 - 20693/13277*x - 856/13277),26554,38849,-25383,-41386,-1712,1,0,A5,1871687169
x^5 - 11*x^4 - x^3 + 21*x^2 - 12*x + 1,(14044)*x^4 + (-2367)*x^3 + (-23277)*x^2 + (14116)*x^1 + (-1126),(14044) * (x^4 - 2367/14044*x^3 - 23277/14044*x^2 + 3529/3511*x - 563/7022),14044,-2367,-23277,14116,-1126,1,0,A5,119486761
x^5 - 10*x^4 - 23*x^3 + 25*x^2 + 16*x + 1,(21876)*x^4 + (35855)*x^3 + (-44193)*x^2 + (-27105)*x^1 + (-1539),(21876) * (x^4 + 35855/21876*x^3 - 14731/7292*x^2 - 9035/7292*x - 513/7292),21876,35855,-44193,-27105,-1539,1,0,A5,68961911236
x^5 - 10*x^4 + 13*x^3 + 25*x^2 - 25*x + 1,(3051)*x^4 + (-6615)*x^3 + (-4050)*x^2 + (6210)*x^1 + (270),(3051) * (x^4 - 245/113*x^3 - 150/113*x^2 + 230/113*x + 10/113),3051,-6615,-4050,6210,270,27,0,A5,18451690569
x^5 - 10*x^4 + 15*x^3 + 7*x^2 - 15*x + 1,(3205)*x^4 + (-6515)*x^3 + (-934)*x^2 + (4880)*x^1 + (-140),(3205) * (x^4 - 1303/641*x^3 - 934/3205*x^2 + 976/641*x - 28/641),3205,-6515,-934,4880,-140,1,0,A5,318943881
x^5 - 10*x^4 + 23*x^3 + 11*x^2 - 24*x + 1,(316)*x^4 + (-1609)*x^3 + (2207)*x^2 + (-671)*x^1 + (551),(316) * (x^4 - 1609/316*x^3 + 2207/316*x^2 - 671/316*x + 551/316),316,-1609,2207,-671,551,1,0,A5,2059525924
x^5 - 9*x^4 - 25*x^3 + 17*x^2 + 10*x + 1,(18118)*x^4 + (34853)*x^3 + (-26017)*x^2 + (-14716)*x^1 + (-1444),(18118) * (x^4 + 34853/18118*x^3 - 26017/18118*x^2 - 7358/9059*x - 722/9059),18118,34853,-26017,-14716,-1444,1,0,A5,3534183601
x^5 - 9*x^4 - 23*x^3 + 22*x^2 + 15*x + 1,(16579)*x^4 + (28877)*x^3 + (-31323)*x^2 + (-20351)*x^1 + (-1222),(16579) * (x^4 + 28877/16579*x^3 - 31323/16579*x^2 - 20351/16579*x - 1222/16579),16579,28877,-31323,-20351,-1222,1,0,A5,41602537089
x^5 - 9*x^4 - 15*x^3 + 11*x^2 + 8*x + 1,(12822)*x^4 + (16643)*x^3 + (-13503)*x^2 + (-9366)*x^1 + (-1150),(12822) * (x^4 + 16643/12822*x^3 - 4501/4274*x^2 - 1561/2137*x - 575/6411),12822,16643,-13503,-9366,-1150,1,0,A5,278923401
x^5 - 9*x^4 - 3*x^3 + 17*x^2 + 10*x + 1,(6744)*x^4 + (1127)*x^3 + (-12333)*x^2 + (-6906)*x^1 + (-652),(6744) * (x^4 + 1127/6744*x^3 - 4111/2248*x^2 - 1151/1124*x - 163/1686),6744,1127,-12333,-6906,-652,1,0,A5,185313769
x^5 - 9*x^4 - 2*x^3 + 17*x^2 - 9*x + 1,(6604)*x^4 + (-775)*x^3 + (-10134)*x^2 + (5761)*x^1 + (-635),(6604) * (x^4 - 775/6604*x^3 - 5067/3302*x^2 + 5761/6604*x - 5/52),6604,-775,-10134,5761,-635,1,0,A5,30991489
x^5 - 9*x^4 + 17*x^3 - 2*x^2 - 9*x + 1,(1075)*x^4 + (-2827)*x^3 + (981)*x^2 + (1049)*x^1 + (-46),(1075) * (x^4 - 2827/1075*x^3 + 981/1075*x^2 + 1049/1075*x - 46/1075),1075,-2827,981,1049,-46,1,0,A5,30991489
x^5 - 9*x^4 + 17*x^3 + 19*x^2 + 24*x + 1,(-554)*x^4 + (1835)*x^3 + (-375)*x^2 + (1130)*x^1 + (554),(-554) * (x^4 - 1835/554*x^3 + 375/554*x^2 - 565/277*x - 1),-554,1835,-375,1130,554,1,0,A5,7918686169
