polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 + x^3 - 3*x^2 + 10*x + 1,(13/2)*x^6 + (27)*x^5 + (-135)*x^4 + (-241)*x^3 + (-93/2)*x^2 + (-105/2)*x^1 + (215/2),(13/2) * (x^6 + 54/13*x^5 - 270/13*x^4 - 482/13*x^3 - 93/13*x^2 - 105/13*x + 215/13),13/2,27,-135,-241,-93/2,-105/2,215/2,1/2,0,A5,38353249
x^5 + 3*x^4 + x^3 - 3*x^2 + 22*x + 1,(13/2)*x^6 + (27)*x^5 + (-315)*x^4 + (-493)*x^3 + (-129/2)*x^2 + (-213/2)*x^1 + (983/2),(13/2) * (x^6 + 54/13*x^5 - 630/13*x^4 - 986/13*x^3 - 129/13*x^2 - 213/13*x + 983/13),13/2,27,-315,-493,-129/2,-213/2,983/2,1/2,0,A5,1537816225
x^5 + 3*x^4 + x^3 + 2*x^2 - 3*x + 1,(13/2)*x^6 + (-21/2)*x^5 + (75/2)*x^4 + (42)*x^3 + (-69/2)*x^2 + (-33/2)*x^1 + (4),(13/2) * (x^6 - 21/13*x^5 + 75/13*x^4 + 84/13*x^3 - 69/13*x^2 - 33/13*x + 8/13),13/2,-21/2,75/2,42,-69/2,-33/2,4,1/2,0,A5,133225
x^5 + 3*x^4 + 4*x^3 - 15*x^2 + 11*x + 1,(-1)*x^6 + (261/2)*x^5 + (-147/2)*x^4 + (-376)*x^3 + (453/2)*x^2 + (-555/2)*x^1 + (317/2),(-1) * (x^6 - 261/2*x^5 + 147/2*x^4 + 376*x^3 - 453/2*x^2 + 555/2*x - 317/2),-1,261/2,-147/2,-376,453/2,-555/2,317/2,1,0,A5,321305625
x^5 + 3*x^4 + 5*x^3 + 5*x^2 + 8*x + 1,(-7/2)*x^6 + (-15)*x^5 + (-105)*x^4 + (-143)*x^3 + (-135/2)*x^2 + (45/2)*x^1 + (103/2),(-7/2) * (x^6 + 30/7*x^5 + 30*x^4 + 286/7*x^3 + 135/7*x^2 - 45/7*x - 103/7),-7/2,-15,-105,-143,-135/2,45/2,103/2,1/2,0,A5,2002225
x^5 + 3*x^4 + 6*x^3 + 12*x^2 + 17*x + 1,(-6)*x^6 + (-63)*x^5 + (-255)*x^4 + (-238)*x^3 + (18)*x^2 + (261)*x^1 + (259),(-6) * (x^6 + 21/2*x^5 + 85/2*x^4 + 119/3*x^3 - 3*x^2 - 87/2*x - 259/6),-6,-63,-255,-238,18,261,259,1,0,A5,67897600
x^5 + 3*x^4 + 7*x^3 + 11*x^2 + 8*x + 1,(-17/2)*x^6 + (-51)*x^5 + (-96)*x^4 + (-39)*x^3 + (105/2)*x^2 + (159/2)*x^1 + (73/2),(-17/2) * (x^6 + 6*x^5 + 192/17*x^4 + 78/17*x^3 - 105/17*x^2 - 159/17*x - 73/17),-17/2,-51,-96,-39,105/2,159/2,73/2,1/2,0,A5,162409
x^5 + 3*x^4 + 8*x^3 + 13*x^2 + 9*x + 1,(-11)*x^6 + (-123/2)*x^5 + (-195/2)*x^4 + (-6)*x^3 + (201/2)*x^2 + (231/2)*x^1 + (97/2),(-11) * (x^6 + 123/22*x^5 + 195/22*x^4 + 6/11*x^3 - 201/22*x^2 - 21/2*x - 97/22),-11,-123/2,-195/2,-6,201/2,231/2,97/2,1/2,0,A5,426409
x^5 + 3*x^4 + 9*x^3 - 19*x^2 + 16*x + 1,(-27/2)*x^6 + (183)*x^5 + (-33)*x^4 + (-703)*x^3 + (561/2)*x^2 + (-1047/2)*x^1 + (607/2),(-27/2) * (x^6 - 122/9*x^5 + 22/9*x^4 + 1406/27*x^3 - 187/9*x^2 + 349/9*x - 607/27),-27/2,183,-33,-703,561/2,-1047/2,607/2,1/2,0,A5,3621752761
x^5 + 3*x^4 + 10*x^3 - 16*x^2 + 9*x + 1,(-16)*x^6 + (165)*x^5 + (87)*x^4 + (-534)*x^3 + (204)*x^2 + (-291)*x^1 + (121),(-16) * (x^6 - 165/16*x^5 - 87/16*x^4 + 267/8*x^3 - 51/4*x^2 + 291/16*x - 121/16),-16,165,87,-534,204,-291,121,1,0,A5,685182976
