polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 + 6*x^3 + 18*x^2 - 2*x + 1,(232)*x^3 + (656)*x^2 + (-120)*x^1 + (-32),(232) * (x^3 + 82/29*x^2 - 15/29*x - 4/29),232,656,-120,-32,8,0,A4,984064
x^4 + 7*x^3 + 5*x^2 - 6*x + 1,(-155)*x^3 + (-77)*x^2 + (118)*x^1 + (-13),(-155) * (x^3 + 77/155*x^2 - 118/155*x + 13/155),-155,-77,118,-13,1,0,A4,26569
x^4 + 7*x^3 + 11*x^2 - 6*x + 1,(13)*x^3 + (13)*x^2 + (-26)*x^1 + (-13),(13) * (x^3 + x^2 - 2*x - 1),13,13,-26,-13,13,0,A4,8281
x^4 + 8*x^3 - 9*x^2 - 19*x + 1,(-648)*x^3 + (1188)*x^2 + (1836)*x^1 + (297),(-648) * (x^3 - 11/6*x^2 - 17/6*x - 11/24),-648,1188,1836,297,27,0,A4,24413481
x^4 + 8*x^3 + 11*x^2 - 9*x + 1,(-88)*x^3 + (-92)*x^2 + (116)*x^1 + (17),(-88) * (x^3 + 23/22*x^2 - 29/22*x - 17/88),-88,-92,116,17,1,0,A4,121801
x^4 + 8*x^3 + 18*x^2 + 1,(64)*x^3 + (128)*x^2 + (-64)*x^1 + (-64),(64) * (x^3 + 2*x^2 - x - 1),64,128,-64,-64,64,0,A4,200704
x^4 + 9*x^3 - 7*x^2 - 18*x + 1,(-837)*x^3 + (1071)*x^2 + (1890)*x^1 + (243),(-837) * (x^3 - 119/93*x^2 - 70/31*x - 9/31),-837,1071,1890,243,9,0,A4,24235929
x^4 + 9*x^3 + 11*x^2 - 8*x + 1,(-269)*x^3 + (-279)*x^2 + (224)*x^1 + (-17),(-269) * (x^3 + 279/269*x^2 - 224/269*x + 17/269),-269,-279,224,-17,1,0,A4,121801
x^4 + 9*x^3 + 14*x^2 - 13*x + 1,(-121)*x^3 + (-132)*x^2 + (253)*x^1 + (88),(-121) * (x^3 + 12/11*x^2 - 23/11*x - 8/11),-121,-132,253,88,11,0,A4,894916
x^4 + 9*x^3 + 15*x^2 - 20*x + 1,(-29)*x^3 + (29)*x^2 + (348)*x^1 + (319),(-29) * (x^3 - x^2 - 12*x - 11),-29,29,348,319,29,0,A4,1151329
x^4 + 9*x^3 + 21*x^2 + 2*x + 1,(11)*x^3 + (11)*x^2 + (-66)*x^1 + (-77),(11) * (x^3 + x^2 - 6*x - 7),11,11,-66,-77,11,0,A4,43681
x^4 + 9*x^3 + 23*x^2 + 14*x + 1,(-13)*x^3 + (-15)*x^2 + (82)*x^1 + (115),(-13) * (x^3 + 15/13*x^2 - 82/13*x - 115/13),-13,-15,82,115,1,0,A4,26569
x^4 + 10*x^3 + 5*x^2 - 6*x + 1,(-752)*x^3 + (-296)*x^2 + (400)*x^1 + (-64),(-752) * (x^3 + 37/94*x^2 - 25/47*x + 4/47),-752,-296,400,-64,8,0,A4,61504
x^4 + 11*x^3 + 23*x^2 - 12*x + 1,(-223)*x^3 + (-419)*x^2 + (260)*x^1 + (23),(-223) * (x^3 + 419/223*x^2 - 260/223*x - 23/223),-223,-419,260,23,1,0,A4,877969
x^4 + 12*x^3 - 4*x^2 - 4*x + 1,(-1888)*x^3 + (720)*x^2 + (544)*x^1 + (-128),(-1888) * (x^3 - 45/118*x^2 - 17/59*x + 4/59),-1888,720,544,-128,16,0,A4,473344
x^4 + 12*x^3 + 20*x^2 - 20*x + 1,(-608)*x^3 + (-816)*x^2 + (1184)*x^1 + (256),(-608) * (x^3 + 51/38*x^2 - 37/19*x - 8/19),-608,-816,1184,256,16,0,A4,20502784
x^4 + 12*x^3 + 23*x^2 - 11*x + 1,(-536)*x^3 + (-948)*x^2 + (476)*x^1 + (-23),(-536) * (x^3 + 237/134*x^2 - 119/134*x + 23/536),-536,-948,476,-23,1,0,A4,877969
x^4 + 13*x^3 + 14*x^2 - 9*x + 1,(-1397)*x^3 + (-1364)*x^2 + (913)*x^1 + (-88),(-1397) * (x^3 + 124/127*x^2 - 83/127*x + 8/127),-1397,-1364,913,-88,11,0,A4,894916
x^4 + 14*x^3 + 21*x^2 - 18*x + 1,(-1424)*x^3 + (-1864)*x^2 + (1904)*x^1 + (128),(-1424) * (x^3 + 233/178*x^2 - 119/89*x - 8/89),-1424,-1864,1904,128,8,0,A4,32535616
x^4 + 14*x^3 + 23*x^2 + 9*x + 1,(-1528)*x^3 + (-2660)*x^2 + (-1048)*x^1 + (-115),(-1528) * (x^3 + 665/382*x^2 + 131/191*x + 115/1528),-1528,-2660,-1048,-115,1,0,A4,26569
x^4 + 15*x^3 - 10*x^2 - 3*x + 1,(-3951)*x^3 + (2724)*x^2 + (675)*x^1 + (-216),(-3951) * (x^3 - 908/1317*x^2 - 75/439*x + 24/439),-3951,2724,675,-216,3,0,A4,2196324
x^4 + 16*x^3 + 11*x^2 - 21*x + 1,(-3224)*x^3 + (-1676)*x^2 + (4324)*x^1 + (185),(-3224) * (x^3 + 419/806*x^2 - 1081/806*x - 185/3224),-3224,-1676,4324,185,1,0,A4,112254025
x^4 + 17*x^3 - 15*x^2 + 1,(-5933)*x^3 + (5219)*x^2 + (-136)*x^1 + (-289),(-5933) * (x^3 - 307/349*x^2 + 8/349*x + 17/349),-5933,5219,-136,-289,17,0,A4,1803649
x^4 + 18*x^3 - 7*x^2 - 9*x + 1,(-6264)*x^3 + (2772)*x^2 + (3024)*x^1 + (-243),(-6264) * (x^3 - 77/174*x^2 - 14/29*x + 9/232),-6264,2772,3024,-243,9,0,A4,24235929
x^4 + 18*x^3 + 21*x^2 - 14*x + 1,(-4208)*x^3 + (-4552)*x^2 + (3216)*x^1 + (-128),(-4208) * (x^3 + 569/526*x^2 - 201/263*x + 8/263),-4208,-4552,3216,-128,8,0,A4,32535616
x^4 + 19*x^3 - 9*x^2 - 8*x + 1,(-7479)*x^3 + (3861)*x^2 + (3024)*x^1 + (-297),(-7479) * (x^3 - 143/277*x^2 - 112/277*x + 11/277),-7479,3861,3024,-297,27,0,A4,24413481
x^4 + 20*x^3 + 15*x^2 - 9*x + 1,(-6728)*x^3 + (-4756)*x^2 + (2900)*x^1 + (-319),(-6728) * (x^3 + 41/58*x^2 - 25/58*x + 11/232),-6728,-4756,2900,-319,29,0,A4,1151329
x^4 + 20*x^3 + 20*x^2 - 12*x + 1,(-6304)*x^3 + (-5936)*x^2 + (3680)*x^1 + (-256),(-6304) * (x^3 + 371/394*x^2 - 115/197*x + 8/197),-6304,-5936,3680,-256,16,0,A4,20502784
x^4 + 21*x^3 - 22*x^2 + 3*x + 1,(-11133)*x^3 + (11496)*x^2 + (-1755)*x^1 + (-432),(-11133) * (x^3 - 3832/3711*x^2 + 195/1237*x + 48/1237),-11133,11496,-1755,-432,3,0,A4,3392964
x^4 + 21*x^3 + 11*x^2 - 16*x + 1,(-8209)*x^3 + (-3711)*x^2 + (6184)*x^1 + (-185),(-8209) * (x^3 + 3711/8209*x^2 - 6184/8209*x + 185/8209),-8209,-3711,6184,-185,1,0,A4,112254025
x^4 + 24*x^3 - 25*x^2 - 3*x + 1,(-16200)*x^3 + (17028)*x^2 + (1836)*x^1 + (-567),(-16200) * (x^3 - 473/450*x^2 - 17/150*x + 7/200),-16200,17028,1836,-567,9,0,A4,58936329
