polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 6*x^3 - 5*x^2 + 18*x + 1,-6144,1920,1920,-288,96,0,D(4),6054912
x^4 - 2*x^3 - 16*x^2 + 17*x + 1,-5985,5700,570,-285,285,0,D(4),6904125
x^4 - 7*x^3 - 2*x^2 + 18*x + 1,-5920,900,2180,-275,5,0,D(4),6731525
x^4 + 8*x^3 - 25*x^2 + 16*x + 1,-5760,8628,-2976,-192,12,0,D(4),34704
x^4 + 3*x^3 + 2*x^2 + 18*x + 1,-5712,-756,-1092,-315,21,0,D(4),-2767275
x^4 + 2*x^3 - 25*x^2 + 16*x + 1,-5712,8820,-840,-252,84,0,D(4),14866992
x^4 - 6*x^3 + 2*x^2 + 18*x + 1,-5640,-432,1752,-288,24,0,D(4),893952
x^4 + 7*x^3 + 4*x^2 + 18*x + 1,-5600,-1500,-2300,-275,25,0,D(4),-7421875
x^4 + 4*x^3 - 23*x^2 + 16*x + 1,-5600,7860,-1520,-240,20,0,D(4),6136400
x^4 - 6*x^3 + 3*x^2 + 18*x + 1,-5568,-736,1728,-288,32,0,D(4),320512
x^4 + 5*x^3 - 22*x^2 + 16*x + 1,-5544,7392,-1848,-231,231,0,D(4),1974357
x^4 + 7*x^3 + 20*x^2 + 19*x + 1,-5395,-5902,-2119,-312,13,0,D(4),-105456
x^4 + 2*x^3 + 20*x^2 + 19*x + 1,-5355,-5712,-714,-357,357,0,D(4),-7519491
x^4 - 13*x^3 - 7*x^2 + 17*x + 1,-5285,2645,3985,-120,5,0,D(4),56110725
x^4 + 3*x^3 + 8*x^2 + 18*x + 1,-5280,-2460,-1020,-315,15,0,D(4),-1235475
x^4 + 6*x^3 + 10*x^2 + 18*x + 1,-5160,-3072,-1848,-288,24,0,D(4),-1472256
x^4 - 14*x^3 + 22*x^2 + 19*x + 1,-5075,-5490,3670,-165,5,0,D(4),37955525
x^4 - 14*x^2 + 16*x + 1,-4992,4352,-128,-256,128,0,D(4),1114112
x^4 + 4*x^3 - 13*x^2 + 16*x + 1,-4960,3860,-1360,-240,20,0,D(4),-4791600
x^4 + 4*x^3 + 13*x^2 + 18*x + 1,-4928,-3696,-1232,-308,308,0,D(4),-664048
x^4 + 6*x^3 + 15*x^2 + 18*x + 1,-4800,-4192,-1728,-288,32,0,D(4),-121856
x^4 - 12*x^3 + 13*x^2 + 18*x + 1,-4800,-3120,3120,-180,60,0,D(4),21027600
x^4 + 5*x^3 - 23*x^2 + 15*x + 1,-4795,7125,-1705,-200,5,0,D(4),4668725
x^4 - 4*x^3 + 2*x^2 + 17*x + 1,-4745,-442,988,-273,13,0,D(4),-1647243
x^4 - 7*x^3 + 4*x^2 + 17*x + 1,-4585,-870,1775,-240,5,0,D(4),1952000
x^4 + 2*x^3 - 7*x^2 + 16*x + 1,-4560,1908,-696,-252,12,0,D(4),-2909808
x^4 + 2*x^3 + 19*x^2 + 18*x + 1,-4480,-4800,-640,-320,320,0,D(4),-5632000
x^4 + 6*x^3 + 20*x^2 + 18*x + 1,-4440,-5112,-1608,-288,24,0,D(4),-766656
x^4 - 3*x^3 + 20*x^2 + 18*x + 1,-4368,-4788,588,-315,21,0,D(4),-12980835
x^4 - 21*x^3 + 18*x^2 + 18*x + 1,-4368,-3796,5148,117,13,0,D(4),155346997
x^4 - 4*x^3 - 4*x^2 + 16*x + 1,-4320,1200,960,-240,240,0,D(4),576000
x^4 - 5*x^3 - 4*x^2 + 16*x + 1,-4312,1232,1232,-231,77,0,D(4),1974357
x^4 - 8*x^3 + 8*x^2 + 17*x + 1,-4305,-1800,1920,-225,15,0,D(4),2319525
x^4 - 2*x^2 + 16*x + 1,-4224,512,-128,-256,128,0,D(4),-1835008
x^4 - 2*x^3 - 14*x^2 + 15*x + 1,-4199,3978,442,-221,221,0,D(4),3760757
x^4 - 12*x^2 + 15*x + 1,-4095,3260,-120,-225,5,0,D(4),113125
x^4 - 8*x^3 + 16*x + 1,-4032,240,1920,-192,48,0,D(4),6435072
x^4 + 8*x^3 + 14*x^2 + 17*x + 1,-4025,-3550,-2000,-225,25,0,D(4),-1546875
x^4 - 11*x^3 - 24*x^2 + 14*x + 1,-4000,7300,3100,-75,25,0,D(4),76578125
x^4 - 2*x^3 - 22*x^2 + 14*x + 1,-3960,6288,456,-192,24,0,D(4),14303232
x^4 - 10*x^3 + x^2 + 16*x + 1,-3952,52,2392,-156,52,0,D(4),13284752
x^4 - 14*x^3 + 25*x^2 + 18*x + 1,-3920,-5112,2992,-128,8,0,D(4),28672064
x^4 - 8*x^3 + 3*x^2 + 16*x + 1,-3840,-492,1824,-192,12,0,D(4),4566672
x^4 - 24*x^3 + x^2 + 16*x + 1,-3840,500,5920,320,20,0,D(4),209498000
x^4 + 4*x^3 - 19*x^2 + 14*x + 1,-3840,5040,-1200,-180,60,0,D(4),954000
x^4 - 5*x^3 - 8*x^2 + 15*x + 1,-3815,2190,1165,-200,5,0,D(4),4010000
x^4 + 7*x^3 + 18*x^2 + 17*x + 1,-3745,-4160,-1655,-240,5,0,D(4),-3100
x^4 + 2*x^3 + 18*x^2 + 17*x + 1,-3705,-3990,-570,-285,285,0,D(4),-4142475
x^4 - 6*x^3 - 17*x^2 + 14*x + 1,-3648,4640,1472,-160,32,0,D(4),16507904
x^4 + 2*x^3 - 15*x^2 + 14*x + 1,-3600,3768,-624,-192,24,0,D(4),74304
x^4 + x^3 - 14*x^2 + 14*x + 1,-3536,3484,-364,-195,13,0,D(4),426725
x^4 + 5*x^3 - 2*x^2 + 15*x + 1,-3535,300,-1285,-200,5,0,D(4),-3859900
x^4 - 8*x^3 + 8*x^2 + 16*x + 1,-3520,-1552,1664,-192,16,0,D(4),2011392
x^4 - 8*x^3 - 15*x^2 + 14*x + 1,-3520,4048,1936,-132,44,0,D(4),20848784
x^4 - 11*x^3 + 20*x^2 + 17*x + 1,-3465,-3822,2163,-168,21,0,D(4),6272784
x^4 - 2*x^3 - 13*x^2 + 14*x + 1,-3456,3264,384,-192,192,0,D(4),2691072
