polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - x^3 + 2*x^2 + x + 1,(-15)*x^3 + (0)*x^2 + (15)*x^1 + (0),(-15) * (x - 1) * x * (x + 1),-15,0,15,0,15,2,E(4),900
x^4 - 25*x^2 + 1,(0)*x^3 + (2484)*x^2 + (0)*x^1 + (0),(2484) * x^2,0,2484,0,0,2484,3,E(4),6170256
x^4 - 24*x^2 + 1,(0)*x^3 + (2288)*x^2 + (0)*x^1 + (0),(2288) * x^2,0,2288,0,0,2288,3,E(4),5234944
x^4 - 22*x^2 + 1,(0)*x^3 + (1920)*x^2 + (0)*x^1 + (0),(1920) * x^2,0,1920,0,0,1920,3,E(4),3686400
x^4 - 21*x^2 + 1,(0)*x^3 + (1748)*x^2 + (0)*x^1 + (0),(1748) * x^2,0,1748,0,0,1748,3,E(4),3055504
x^4 - 20*x^2 + 1,(0)*x^3 + (1584)*x^2 + (0)*x^1 + (0),(1584) * x^2,0,1584,0,0,1584,3,E(4),2509056
x^4 - 19*x^2 + 1,(0)*x^3 + (1428)*x^2 + (0)*x^1 + (0),(1428) * x^2,0,1428,0,0,1428,3,E(4),2039184
x^4 - 17*x^2 + 1,(0)*x^3 + (1140)*x^2 + (0)*x^1 + (0),(1140) * x^2,0,1140,0,0,1140,3,E(4),1299600
x^4 - 16*x^2 + 1,(0)*x^3 + (1008)*x^2 + (0)*x^1 + (0),(1008) * x^2,0,1008,0,0,1008,3,E(4),1016064
x^4 - 15*x^2 + 1,(0)*x^3 + (884)*x^2 + (0)*x^1 + (0),(884) * x^2,0,884,0,0,884,3,E(4),781456
x^4 - 13*x^2 + 1,(0)*x^3 + (660)*x^2 + (0)*x^1 + (0),(660) * x^2,0,660,0,0,660,3,E(4),435600
x^4 - 12*x^2 + 1,(0)*x^3 + (560)*x^2 + (0)*x^1 + (0),(560) * x^2,0,560,0,0,560,3,E(4),313600
x^4 - 10*x^2 + 1,(0)*x^3 + (384)*x^2 + (0)*x^1 + (0),(384) * x^2,0,384,0,0,384,3,E(4),147456
x^4 - 9*x^2 + 1,(0)*x^3 + (308)*x^2 + (0)*x^1 + (0),(308) * x^2,0,308,0,0,308,3,E(4),94864
x^4 - 8*x^2 + 1,(0)*x^3 + (240)*x^2 + (0)*x^1 + (0),(240) * x^2,0,240,0,0,240,3,E(4),57600
x^4 - 5*x^2 + 1,(0)*x^3 + (84)*x^2 + (0)*x^1 + (0),(84) * x^2,0,84,0,0,84,3,E(4),7056
x^4 - 4*x^2 + 1,(0)*x^3 + (48)*x^2 + (0)*x^1 + (0),(48) * x^2,0,48,0,0,48,3,E(4),2304
x^4 - x^2 + 1,(0)*x^3 + (-12)*x^2 + (0)*x^1 + (0),(-12) * x^2,0,-12,0,0,12,3,E(4),144
x^4 + 1,(0)*x^3 + (-16)*x^2 + (0)*x^1 + (0),(-16) * x^2,0,-16,0,0,16,3,E(4),256
x^4 + 3*x^2 + 1,(0)*x^3 + (20)*x^2 + (0)*x^1 + (0),(20) * x^2,0,20,0,0,20,3,E(4),400
x^4 + 4*x^2 + 1,(0)*x^3 + (48)*x^2 + (0)*x^1 + (0),(48) * x^2,0,48,0,0,48,3,E(4),2304
x^4 + 5*x^2 + 1,(0)*x^3 + (84)*x^2 + (0)*x^1 + (0),(84) * x^2,0,84,0,0,84,3,E(4),7056
x^4 + 6*x^2 + 1,(0)*x^3 + (128)*x^2 + (0)*x^1 + (0),(128) * x^2,0,128,0,0,128,3,E(4),16384
x^4 + 7*x^2 + 1,(0)*x^3 + (180)*x^2 + (0)*x^1 + (0),(180) * x^2,0,180,0,0,180,3,E(4),32400
x^4 + 8*x^2 + 1,(0)*x^3 + (240)*x^2 + (0)*x^1 + (0),(240) * x^2,0,240,0,0,240,3,E(4),57600
x^4 + 9*x^2 + 1,(0)*x^3 + (308)*x^2 + (0)*x^1 + (0),(308) * x^2,0,308,0,0,308,3,E(4),94864
x^4 + 10*x^2 + 1,(0)*x^3 + (384)*x^2 + (0)*x^1 + (0),(384) * x^2,0,384,0,0,384,3,E(4),147456
x^4 + 11*x^2 + 1,(0)*x^3 + (468)*x^2 + (0)*x^1 + (0),(468) * x^2,0,468,0,0,468,3,E(4),219024
x^4 + 12*x^2 + 1,(0)*x^3 + (560)*x^2 + (0)*x^1 + (0),(560) * x^2,0,560,0,0,560,3,E(4),313600
x^4 + 13*x^2 + 1,(0)*x^3 + (660)*x^2 + (0)*x^1 + (0),(660) * x^2,0,660,0,0,660,3,E(4),435600
x^4 + 14*x^2 + 1,(0)*x^3 + (768)*x^2 + (0)*x^1 + (0),(768) * x^2,0,768,0,0,768,3,E(4),589824
